;"Canas de Senhorim"
"01/12/2023 00:00";128.3
"01/12/2023 01:00";128.3
"01/12/2023 02:00";131.3
"01/12/2023 03:00";128.0
"01/12/2023 04:00";130.4
"01/12/2023 05:00";126.4
"01/12/2023 06:00";126.6
"01/12/2023 07:00";128.3
"01/12/2023 08:00";125.0
"01/12/2023 09:00";127.0
"01/12/2023 10:00";126.0
"01/12/2023 11:00";127.2
"01/12/2023 12:00";129.5
"01/12/2023 13:00";128.4
"01/12/2023 14:00";129.1
"01/12/2023 15:00";127.8
"01/12/2023 16:00";130.9
"01/12/2023 17:00";128.9
"01/12/2023 18:00";126.0
"01/12/2023 19:00";129.4
"01/12/2023 20:00";123.9
"01/12/2023 21:00";130.8
"01/12/2023 22:00";125.7
"01/12/2023 23:00";130.6
"02/12/2023 00:00";124.9
"02/12/2023 01:00";127.0
"02/12/2023 02:00";125.2
"02/12/2023 03:00";129.7
"02/12/2023 04:00";130.0
"02/12/2023 05:00";126.3
"02/12/2023 06:00";129.3
"02/12/2023 07:00";126.4
"02/12/2023 08:00";130.2
"02/12/2023 09:00";126.4
"02/12/2023 10:00";123.8
"02/12/2023 11:00";126.9
"02/12/2023 12:00";127.9
"02/12/2023 13:00";124.9
"02/12/2023 14:00";128.3
"02/12/2023 15:00";127.6
"02/12/2023 16:00";129.1
"02/12/2023 17:00";124.5
"02/12/2023 18:00";127.5
"02/12/2023 19:00";129.7
"02/12/2023 20:00";127.1
"02/12/2023 21:00";129.8
"02/12/2023 22:00";128.8
"02/12/2023 23:00";125.6
"03/12/2023 00:00";130.5
"03/12/2023 01:00";126.0
"03/12/2023 02:00";127.6
"03/12/2023 03:00";130.1
"03/12/2023 04:00";128.9
"03/12/2023 05:00";125.6
"03/12/2023 06:00";126.9
"03/12/2023 07:00";126.0
"03/12/2023 08:00";128.1
"03/12/2023 09:00";127.8
"03/12/2023 10:00";131.5
"03/12/2023 11:00";131.0
"03/12/2023 12:00";129.8
"03/12/2023 13:00";127.0
"03/12/2023 14:00";126.2
"03/12/2023 15:00";125.5
"03/12/2023 16:00";124.0
"03/12/2023 17:00";129.7
"03/12/2023 18:00";128.1
"03/12/2023 19:00";130.1
"03/12/2023 20:00";127.7
"03/12/2023 21:00";126.9
"03/12/2023 22:00";126.9
"03/12/2023 23:00";125.0
"04/12/2023 00:00";128.2
"04/12/2023 01:00";123.7
"04/12/2023 02:00";129.0
"04/12/2023 03:00";126.3
"04/12/2023 04:00";124.2
"04/12/2023 05:00";129.5
"04/12/2023 06:00";129.9
"04/12/2023 07:00";127.6
"04/12/2023 08:00";128.9
"04/12/2023 09:00";129.0
"04/12/2023 10:00";127.4
"04/12/2023 11:00";127.1
"04/12/2023 12:00";128.1
"04/12/2023 13:00";126.7
"04/12/2023 14:00";127.8
"04/12/2023 15:00";125.5
"04/12/2023 16:00";124.8
"04/12/2023 17:00";127.5
"04/12/2023 18:00";126.4
"04/12/2023 19:00";123.6
"04/12/2023 20:00";126.5
"04/12/2023 21:00";124.8
"04/12/2023 22:00";126.6
"04/12/2023 23:00";126.9
"05/12/2023 00:00";126.3
"05/12/2023 01:00";126.0
"05/12/2023 02:00";124.9
"05/12/2023 03:00";128.9
"05/12/2023 04:00";128.4
"05/12/2023 05:00";125.7
"05/12/2023 06:00";126.2
"05/12/2023 07:00";129.2
"05/12/2023 08:00";127.9
"05/12/2023 09:00";130.8
"05/12/2023 11:00";126.8
"05/12/2023 12:00";124.4
"05/12/2023 13:00";130.0
"05/12/2023 14:00";127.0
"05/12/2023 15:00";128.1
"05/12/2023 16:00";126.1
"05/12/2023 17:00";127.1
"05/12/2023 18:00";129.4
"05/12/2023 19:00";129.1
"05/12/2023 20:00";131.5
"05/12/2023 21:00";129.5
"05/12/2023 22:00";129.3
"05/12/2023 23:00";129.8
"06/12/2023 00:00";125.0
"06/12/2023 01:00";129.1
"06/12/2023 02:00";127.1
"06/12/2023 03:00";128.2
"06/12/2023 04:00";129.5
"06/12/2023 05:00";127.7
"06/12/2023 06:00";126.9
"06/12/2023 07:00";127.4
"06/12/2023 08:00";128.8
"06/12/2023 09:00";128.2
"06/12/2023 10:00";141.8
"06/12/2023 11:00";166.8
"06/12/2023 12:00";163.6
"06/12/2023 13:00";164.3
"06/12/2023 14:00";162.9
"06/12/2023 15:00";164.4
"06/12/2023 16:00";177.9
"06/12/2023 17:00";160.9
"06/12/2023 18:00";162.7
"06/12/2023 19:00";158.5
"06/12/2023 20:00";164.2
"06/12/2023 21:00";158.4
"06/12/2023 22:00";161.6
"06/12/2023 23:00";159.1
"07/12/2023 00:00";162.2
"07/12/2023 01:00";162.5
"07/12/2023 02:00";160.7
"07/12/2023 03:00";165.5
"07/12/2023 04:00";163.8
"07/12/2023 05:00";161.9
"07/12/2023 06:00";164.9
"07/12/2023 07:00";164.5
"07/12/2023 08:00";159.1
"07/12/2023 09:00";162.1
"07/12/2023 10:00";163.4
"07/12/2023 11:00";160.5
"07/12/2023 12:00";162.0
"07/12/2023 13:00";164.9
"07/12/2023 14:00";159.4
"07/12/2023 15:00";163.7
"07/12/2023 16:00";161.6
"07/12/2023 17:00";160.0
"07/12/2023 18:00";168.1
"07/12/2023 19:00";162.6
"07/12/2023 20:00";160.3
"07/12/2023 21:00";160.7
"07/12/2023 22:00";162.4
"07/12/2023 23:00";164.8
"08/12/2023 00:00";163.6
"08/12/2023 01:00";161.5
"08/12/2023 02:00";157.1
"08/12/2023 03:00";164.7
"08/12/2023 04:00";164.1
"08/12/2023 05:00";162.0
"08/12/2023 06:00";163.2
"08/12/2023 07:00";162.8
"08/12/2023 08:00";163.1
"08/12/2023 09:00";161.6
"08/12/2023 10:00";160.8
"08/12/2023 11:00";160.0
"08/12/2023 12:00";166.2
"08/12/2023 13:00";163.0
"08/12/2023 14:00";160.6
"08/12/2023 15:00";164.1
"08/12/2023 16:00";163.1
"08/12/2023 17:00";161.4
"08/12/2023 18:00";165.1
"08/12/2023 19:00";166.6
"08/12/2023 20:00";162.1
"08/12/2023 21:00";161.2
"08/12/2023 22:00";160.8
"08/12/2023 23:00";160.5
"09/12/2023 00:00";163.9
"09/12/2023 01:00";157.3
"09/12/2023 02:00";160.0
"09/12/2023 03:00";163.9
"09/12/2023 04:00";160.9
"09/12/2023 05:00";165.0
"09/12/2023 06:00";160.8
"09/12/2023 07:00";158.3
"09/12/2023 08:00";162.3
"09/12/2023 09:00";168.1
"09/12/2023 10:00";160.7
"09/12/2023 11:00";159.1
"09/12/2023 12:00";159.7
"09/12/2023 13:00";158.4
"09/12/2023 14:00";160.0
"09/12/2023 15:00";159.8
"09/12/2023 16:00";164.5
"09/12/2023 17:00";162.0
"09/12/2023 18:00";163.0
"09/12/2023 19:00";162.8
"09/12/2023 20:00";158.3
"09/12/2023 21:00";160.7
"09/12/2023 22:00";162.5
"09/12/2023 23:00";164.8
"10/12/2023 00:00";161.2
"10/12/2023 01:00";160.2
"10/12/2023 02:00";159.6
"10/12/2023 03:00";155.7
"10/12/2023 04:00";161.3
"10/12/2023 05:00";160.3
"10/12/2023 06:00";159.5
"10/12/2023 07:00";161.2
"10/12/2023 08:00";159.2
"10/12/2023 09:00";161.1
"10/12/2023 10:00";156.3
"10/12/2023 11:00";163.7
"10/12/2023 12:00";164.4
"10/12/2023 13:00";162.8
"10/12/2023 14:00";157.9
"10/12/2023 15:00";165.5
"10/12/2023 16:00";158.8
"10/12/2023 17:00";156.4
"10/12/2023 18:00";160.0
"10/12/2023 19:00";161.1
"10/12/2023 20:00";160.5
"10/12/2023 21:00";160.0
"10/12/2023 22:00";157.8
"10/12/2023 23:00";161.2
"11/12/2023 00:00";162.2
"11/12/2023 01:00";158.5
"11/12/2023 02:00";161.4
"11/12/2023 03:00";163.0
"11/12/2023 04:00";162.9
"11/12/2023 05:00";162.5
"11/12/2023 06:00";160.9
"11/12/2023 07:00";160.5
"11/12/2023 17:00";181.1
"11/12/2023 18:00";176.8
"11/12/2023 19:00";184.2
"11/12/2023 20:00";180.5
"11/12/2023 21:00";180.1
"11/12/2023 22:00";183.4
"11/12/2023 23:00";179.8
"12/12/2023 00:00";182.5
"12/12/2023 01:00";178.8
"12/12/2023 02:00";182.3
"12/12/2023 03:00";181.4
"12/12/2023 04:00";183.8
"12/12/2023 05:00";182.1
"12/12/2023 06:00";185.0
"12/12/2023 07:00";182.1
"12/12/2023 08:00";182.3
"12/12/2023 09:00";178.8
"12/12/2023 10:00";174.1
"12/12/2023 11:00";173.8
"12/12/2023 12:00";179.4
"12/12/2023 13:00";178.4
"12/12/2023 14:00";177.0
"12/12/2023 15:00";178.2
"12/12/2023 16:00";175.5
"12/12/2023 17:00";179.6
"12/12/2023 18:00";177.2
"12/12/2023 19:00";182.8
"12/12/2023 20:00";180.0
"12/12/2023 21:00";180.3
"12/12/2023 22:00";181.9
"12/12/2023 23:00";177.8
"13/12/2023 00:00";182.5
"13/12/2023 01:00";180.8
"13/12/2023 02:00";187.4
"13/12/2023 03:00";175.8
"13/12/2023 04:00";181.0
"13/12/2023 05:00";183.9
"13/12/2023 06:00";181.5
"13/12/2023 07:00";180.7
"13/12/2023 08:00";183.9
"13/12/2023 09:00";180.8
"13/12/2023 10:00";183.3
"13/12/2023 11:00";175.1
"13/12/2023 12:00";176.6
"13/12/2023 13:00";179.2
"13/12/2023 14:00";181.8
"13/12/2023 15:00";177.9
"13/12/2023 16:00";180.6
"13/12/2023 17:00";179.7
"13/12/2023 18:00";179.3
"13/12/2023 19:00";183.8
"13/12/2023 20:00";178.7
"13/12/2023 21:00";180.8
"13/12/2023 22:00";184.6
"13/12/2023 23:00";181.3
"14/12/2023 00:00";184.0
"14/12/2023 01:00";182.8
"14/12/2023 02:00";182.0
"14/12/2023 03:00";181.9
"14/12/2023 04:00";188.3
"14/12/2023 05:00";188.5
"14/12/2023 06:00";186.3
"14/12/2023 07:00";188.0
"14/12/2023 08:00";182.9
"14/12/2023 09:00";184.8
"14/12/2023 10:00";184.4
"14/12/2023 11:00";180.0
"14/12/2023 12:00";184.1
"14/12/2023 13:00";176.7
"14/12/2023 14:00";177.2
"14/12/2023 15:00";177.6
"14/12/2023 16:00";182.1
"14/12/2023 17:00";183.5
"14/12/2023 18:00";178.0
"14/12/2023 19:00";182.1
"14/12/2023 20:00";183.7
"14/12/2023 21:00";180.4
"14/12/2023 22:00";182.3
"14/12/2023 23:00";183.9
"15/12/2023 00:00";187.6
"15/12/2023 01:00";179.5
"15/12/2023 02:00";181.3
"15/12/2023 03:00";181.3
"15/12/2023 04:00";184.3
"15/12/2023 05:00";176.7
"15/12/2023 06:00";180.6
"15/12/2023 07:00";178.0
"15/12/2023 08:00";182.3
"15/12/2023 09:00";177.5
"15/12/2023 10:00";177.2
"15/12/2023 11:00";174.1
"15/12/2023 12:00";180.2
"15/12/2023 13:00";174.9
"15/12/2023 14:00";178.7
"15/12/2023 15:00";175.6
"15/12/2023 16:00";176.6
"15/12/2023 17:00";179.3
"15/12/2023 18:00";181.2
"15/12/2023 19:00";175.9
"15/12/2023 20:00";181.5
"15/12/2023 21:00";181.2
"15/12/2023 22:00";179.7
"15/12/2023 23:00";178.4
"16/12/2023 00:00";180.5
"16/12/2023 01:00";178.8
"16/12/2023 02:00";179.2
"16/12/2023 03:00";181.4
"16/12/2023 04:00";181.7
"16/12/2023 05:00";179.4
"16/12/2023 06:00";178.7
"16/12/2023 07:00";182.4
"16/12/2023 08:00";177.8
"16/12/2023 09:00";176.3
"16/12/2023 10:00";178.6
"16/12/2023 11:00";180.0
"16/12/2023 12:00";180.0
"16/12/2023 13:00";179.7
"16/12/2023 14:00";181.1
"16/12/2023 15:00";178.6
"16/12/2023 16:00";180.9
"16/12/2023 17:00";181.6
"16/12/2023 18:00";185.1
"16/12/2023 19:00";181.1
"16/12/2023 20:00";179.7
"16/12/2023 21:00";184.7
"16/12/2023 22:00";182.0
"16/12/2023 23:00";185.1
"17/12/2023 00:00";182.0
"17/12/2023 01:00";185.7
"17/12/2023 02:00";181.3
"17/12/2023 03:00";184.2
"17/12/2023 04:00";189.3
"17/12/2023 05:00";183.0
"17/12/2023 06:00";187.9
"17/12/2023 07:00";179.3
"17/12/2023 08:00";185.8
"17/12/2023 09:00";182.0
"17/12/2023 10:00";181.2
"17/12/2023 11:00";185.2
"17/12/2023 12:00";184.7
"17/12/2023 13:00";177.7
"17/12/2023 14:00";183.3
"17/12/2023 15:00";181.9
"17/12/2023 16:00";185.9
"17/12/2023 17:00";183.7
"17/12/2023 18:00";184.4
"17/12/2023 19:00";187.6
"17/12/2023 20:00";182.0
"17/12/2023 21:00";185.0
"17/12/2023 22:00";188.1
"17/12/2023 23:00";185.2
"18/12/2023 00:00";183.4
"18/12/2023 01:00";187.3
"18/12/2023 02:00";183.7
"18/12/2023 03:00";184.0
"18/12/2023 04:00";184.1
"18/12/2023 05:00";185.9
"18/12/2023 06:00";183.0
"18/12/2023 07:00";184.1
"18/12/2023 08:00";185.0
"18/12/2023 09:00";182.1
"18/12/2023 10:00";181.9
"18/12/2023 11:00";181.7
"18/12/2023 12:00";180.6
"18/12/2023 13:00";181.9
"18/12/2023 14:00";184.5
"18/12/2023 15:00";183.9
"18/12/2023 16:00";183.9
"18/12/2023 17:00";184.7
"18/12/2023 18:00";185.4
"18/12/2023 19:00";187.9
"18/12/2023 20:00";188.5
"18/12/2023 21:00";185.7
"18/12/2023 22:00";185.5
"18/12/2023 23:00";186.1
"19/12/2023 00:00";186.8
"19/12/2023 01:00";186.3
"19/12/2023 02:00";186.0
"19/12/2023 03:00";187.7
"19/12/2023 04:00";185.7
"19/12/2023 05:00";183.4
"19/12/2023 06:00";190.6
"19/12/2023 07:00";187.1
"19/12/2023 08:00";185.0
"19/12/2023 09:00";189.1
"19/12/2023 10:00";186.6
"19/12/2023 11:00";183.3
"19/12/2023 12:00";184.2
"19/12/2023 13:00";182.7
"19/12/2023 14:00";180.9
"19/12/2023 15:00";183.6
"19/12/2023 16:00";189.1
"19/12/2023 17:00";188.1
"19/12/2023 18:00";195.2
"19/12/2023 19:00";193.0
"19/12/2023 20:00";192.2
"19/12/2023 21:00";193.1
"19/12/2023 22:00";189.6
"19/12/2023 23:00";197.7
"20/12/2023 00:00";199.9
"20/12/2023 01:00";196.8
"20/12/2023 02:00";189.6
"20/12/2023 03:00";191.9
"20/12/2023 04:00";199.7
"20/12/2023 05:00";192.7
"20/12/2023 06:00";195.5
"20/12/2023 07:00";199.9
"20/12/2023 08:00";195.4
"20/12/2023 09:00";187.9
"20/12/2023 10:00";185.4
"20/12/2023 11:00";186.1
"20/12/2023 12:00";188.0
"20/12/2023 13:00";185.6
"20/12/2023 14:00";179.6
"20/12/2023 15:00";180.3
"20/12/2023 16:00";180.5
"20/12/2023 17:00";182.3
"20/12/2023 18:00";186.0
"20/12/2023 19:00";183.5
"20/12/2023 20:00";185.1
"20/12/2023 21:00";184.4
"20/12/2023 22:00";189.4
"20/12/2023 23:00";186.8
"21/12/2023 00:00";187.9
"21/12/2023 01:00";188.7
"21/12/2023 02:00";186.2
"21/12/2023 03:00";188.2
"21/12/2023 04:00";192.5
"21/12/2023 05:00";191.9
"21/12/2023 06:00";193.6
"21/12/2023 07:00";190.0
"21/12/2023 08:00";193.5
"21/12/2023 09:00";200.8
"21/12/2023 10:00";196.5
"21/12/2023 11:00";197.1
"21/12/2023 12:00";187.5
"21/12/2023 13:00";182.5
"21/12/2023 14:00";185.0
"21/12/2023 15:00";181.6
"21/12/2023 16:00";176.7
"21/12/2023 17:00";184.3
"21/12/2023 18:00";190.4
"21/12/2023 19:00";180.1
"21/12/2023 20:00";180.8
"21/12/2023 21:00";185.2
"21/12/2023 22:00";180.0
"21/12/2023 23:00";181.9
"22/12/2023 00:00";186.6
"22/12/2023 01:00";187.9
"22/12/2023 02:00";183.3
"22/12/2023 03:00";191.4
"22/12/2023 04:00";186.9
"22/12/2023 05:00";184.7
"22/12/2023 06:00";185.3
"22/12/2023 07:00";186.5
"22/12/2023 08:00";183.7
"22/12/2023 09:00";179.5
"22/12/2023 10:00";184.1
"22/12/2023 11:00";178.6
"22/12/2023 12:00";178.8
"22/12/2023 13:00";180.0
"22/12/2023 14:00";183.8
"22/12/2023 15:00";180.4
"22/12/2023 16:00";179.3
"22/12/2023 17:00";179.5
"22/12/2023 18:00";185.8
"22/12/2023 19:00";189.0
"22/12/2023 20:00";187.2
"22/12/2023 21:00";183.9
"22/12/2023 22:00";185.5
"22/12/2023 23:00";181.2
"23/12/2023 00:00";185.2
"23/12/2023 01:00";186.2
"23/12/2023 02:00";188.2
"23/12/2023 03:00";186.0
"23/12/2023 04:00";190.2
"23/12/2023 05:00";189.8
"23/12/2023 06:00";185.0
"23/12/2023 07:00";189.5
"23/12/2023 08:00";188.7
"23/12/2023 09:00";184.3
"23/12/2023 10:00";188.7
"23/12/2023 11:00";183.8
"23/12/2023 12:00";182.7
"23/12/2023 13:00";184.5
"23/12/2023 14:00";181.5
"23/12/2023 15:00";186.1
"23/12/2023 16:00";179.8
"23/12/2023 17:00";182.1
"23/12/2023 18:00";186.1
"23/12/2023 19:00";185.4
"23/12/2023 20:00";188.8
"23/12/2023 21:00";183.8
"23/12/2023 22:00";182.7
"23/12/2023 23:00";184.1
"24/12/2023 00:00";184.4
"24/12/2023 01:00";185.6
"24/12/2023 02:00";187.0
"24/12/2023 03:00";183.8
"24/12/2023 04:00";188.2
"24/12/2023 05:00";188.3
"24/12/2023 06:00";187.1
"24/12/2023 07:00";185.4
"24/12/2023 08:00";188.7
"24/12/2023 09:00";185.9
"24/12/2023 10:00";185.7
"24/12/2023 11:00";178.8
"24/12/2023 12:00";182.4
"24/12/2023 13:00";187.5
"24/12/2023 14:00";186.2
"24/12/2023 15:00";185.3
"24/12/2023 16:00";183.3
"24/12/2023 17:00";183.4
"24/12/2023 18:00";189.3
"24/12/2023 19:00";182.8
"24/12/2023 20:00";187.6
"24/12/2023 21:00";189.6
"24/12/2023 22:00";185.1
"24/12/2023 23:00";182.5
"25/12/2023 00:00";189.4
"25/12/2023 01:00";183.5
"25/12/2023 02:00";187.6
"25/12/2023 03:00";185.4
"25/12/2023 04:00";183.8
"25/12/2023 05:00";181.5
"25/12/2023 06:00";185.8
"25/12/2023 07:00";185.6
"25/12/2023 08:00";184.9
"25/12/2023 09:00";184.6
"25/12/2023 10:00";187.8
"25/12/2023 11:00";189.6
"25/12/2023 12:00";182.4
"25/12/2023 13:00";189.5
"25/12/2023 14:00";187.1
"25/12/2023 15:00";186.0
"25/12/2023 16:00";188.1
"25/12/2023 17:00";185.7
"25/12/2023 18:00";184.4
"25/12/2023 19:00";186.1
"25/12/2023 20:00";189.1
"25/12/2023 21:00";193.0
"25/12/2023 22:00";187.1
"25/12/2023 23:00";191.4
"26/12/2023 00:00";191.3
"26/12/2023 01:00";190.3
"26/12/2023 02:00";192.8
"26/12/2023 03:00";186.7
"26/12/2023 04:00";192.7
"26/12/2023 05:00";190.0
"26/12/2023 06:00";184.2
"26/12/2023 07:00";195.2
"26/12/2023 08:00";188.0
"26/12/2023 09:00";194.0
"26/12/2023 10:00";193.9
"26/12/2023 11:00";190.9
"26/12/2023 12:00";186.1
"26/12/2023 13:00";188.5
"26/12/2023 14:00";190.8
"26/12/2023 15:00";188.2
"26/12/2023 16:00";188.3
"26/12/2023 17:00";191.5
"26/12/2023 18:00";187.3
"26/12/2023 19:00";191.4
"26/12/2023 20:00";186.7
"26/12/2023 21:00";191.0
"26/12/2023 22:00";190.2
"26/12/2023 23:00";192.2
"27/12/2023 00:00";191.1
"27/12/2023 01:00";191.8
"27/12/2023 02:00";192.7
"27/12/2023 03:00";190.6
"27/12/2023 04:00";187.0
"27/12/2023 05:00";187.7
"27/12/2023 06:00";189.3
"27/12/2023 07:00";190.8
"27/12/2023 08:00";192.5
"27/12/2023 09:00";188.3
"27/12/2023 10:00";191.4
"27/12/2023 11:00";190.6
"27/12/2023 12:00";186.8
"27/12/2023 13:00";188.4
"27/12/2023 14:00";187.9
"27/12/2023 15:00";186.9
"27/12/2023 16:00";189.0
"27/12/2023 17:00";193.5
"27/12/2023 18:00";192.7
"27/12/2023 19:00";196.3
"27/12/2023 20:00";195.0
"27/12/2023 21:00";193.4
"27/12/2023 22:00";192.5
"27/12/2023 23:00";190.8
"28/12/2023 00:00";193.8
"28/12/2023 01:00";196.0
"28/12/2023 02:00";200.1
"28/12/2023 03:00";193.0
"28/12/2023 04:00";194.0
"28/12/2023 05:00";197.6
"28/12/2023 06:00";199.7
"28/12/2023 07:00";196.6
"28/12/2023 08:00";199.3
"28/12/2023 09:00";195.6
"28/12/2023 10:00";188.3
"28/12/2023 11:00";183.2
"28/12/2023 12:00";180.2
"28/12/2023 13:00";176.8
"28/12/2023 14:00";186.6
"28/12/2023 15:00";185.2
"28/12/2023 16:00";185.9
"28/12/2023 17:00";177.6
"28/12/2023 18:00";185.5
"28/12/2023 19:00";188.6
"28/12/2023 20:00";185.8
"28/12/2023 21:00";191.1
"28/12/2023 22:00";188.5
"28/12/2023 23:00";188.1
"29/12/2023 00:00";192.4
"29/12/2023 01:00";191.1
"29/12/2023 02:00";195.0
"29/12/2023 03:00";186.6
"29/12/2023 04:00";191.3
"29/12/2023 05:00";193.7
"29/12/2023 06:00";189.8
"29/12/2023 07:00";190.7
"29/12/2023 08:00";194.2
"29/12/2023 09:00";194.1
"29/12/2023 10:00";192.2
"29/12/2023 11:00";196.4
"29/12/2023 12:00";189.4
"29/12/2023 13:00";188.7
"29/12/2023 14:00";182.3
"29/12/2023 15:00";182.3
"29/12/2023 16:00";188.3
"29/12/2023 17:00";187.1
"29/12/2023 18:00";188.2
"29/12/2023 19:00";189.1
"29/12/2023 20:00";182.9
"29/12/2023 21:00";185.6
"29/12/2023 22:00";191.5
"29/12/2023 23:00";193.4
"30/12/2023 00:00";191.3
"30/12/2023 01:00";192.6
"30/12/2023 02:00";193.4
"30/12/2023 03:00";193.8
"30/12/2023 04:00";198.3
"30/12/2023 05:00";198.4
"30/12/2023 06:00";202.9
"30/12/2023 07:00";199.3
"30/12/2023 08:00";195.5
"30/12/2023 09:00";198.6
"30/12/2023 10:00";194.7
"30/12/2023 11:00";188.2
"30/12/2023 12:00";189.9
"30/12/2023 13:00";187.4
"30/12/2023 14:00";187.8
"30/12/2023 15:00";189.6
"30/12/2023 16:00";185.8
"30/12/2023 17:00";184.2
"30/12/2023 18:00";183.6
"30/12/2023 19:00";181.3
"30/12/2023 20:00";183.8
"30/12/2023 21:00";182.3
"30/12/2023 22:00";184.3
"30/12/2023 23:00";182.6
"31/12/2023 00:00";180.6
"31/12/2023 01:00";181.0
"31/12/2023 02:00";180.4
"31/12/2023 03:00";183.7
"31/12/2023 04:00";179.3
"31/12/2023 05:00";189.9
"31/12/2023 06:00";185.4
"31/12/2023 07:00";182.0
"31/12/2023 08:00";177.9
"31/12/2023 09:00";179.9
"31/12/2023 10:00";183.2
"31/12/2023 11:00";178.8
"31/12/2023 12:00";180.7
"31/12/2023 13:00";183.0
"31/12/2023 14:00";176.4
"31/12/2023 15:00";179.2
"31/12/2023 16:00";176.4
"31/12/2023 17:00";179.6
"31/12/2023 18:00";184.1
"31/12/2023 19:00";181.5
"31/12/2023 20:00";186.0
"31/12/2023 21:00";182.9
"31/12/2023 22:00";180.6
